id,address,google_lat,google_lng,ola_lat,ola_lng,distance_m
1,"Plot No, 425, 10th Rd, near Sandu Garden, Jai Ambe Nagar, Chembur Gaothan, Chembur, Mumbai, Maharashtra 400071",19.056731743493877,72.89697300152821,19.0563,72.897,48.09147250078401
2,"1, Duleep Singh Marg, HP Nagar West, Chembur, Mumbai, Maharashtra 400074",19.038486898454238,72.89074021623942,19.0384,72.8907,10.546877545439548
3,"Ground Floor, Corporate Park, Unit No.12G & 13G, Sion - Trombay Rd, near Swastik Chambers, Swastik Park, Chembur, Mumbai, Maharashtra 400071",19.055020000740726,72.88748100410066,19.0547,72.8881,74.15274333358201
4,"Shop#23,24, Nichaldas market (Pink Corner, plot 58, Sindhi Society, Chembur, Mumbai, Maharashtra 400071",19.052038533270515,72.89005592465399,19.052,72.8901,6.310204765146266
5,"3V2R+5G3, Near Chembur Hieghts, Sindhi Society, Kurla, Mumbai, Maharashtra 400071",19.050402164024156,72.89128643380056,19.0503,72.8912,14.545885328411693
6,"1, Duleep Singh Marg, HP Nagar West, Chembur, Mumbai, Maharashtra 400074",19.039033635181102,72.89071804754408,19.0384,72.8907,70.48255102279637
7,"Camp or, Mandir No.1, Barrack No.22, Ramdeo Nagar, Chembur Colony, Indira Nagar, Chembur, Mumbai, Maharashtra 400074",19.048305958923663,72.8951738619006,19.0478,72.895,59.15348193025447
8,"CG Rd, opp. BORLA SOCIETY, Vasant Vihar Complex, Chembur, Mumbai, Maharashtra 400074",19.04564996014737,72.9030801174114,19.04469,72.90359,119.44120509381953
9,"RCF Krida Sankul Sports Complex, RCF Colony, Chembur, Mumbai, Maharashtra 400074",19.04177344545181,72.90191454415618,19.0415,72.9019,30.444153891547423
10,"Sai Dham Marg, Opp. N Royale Lawns, Gulab Park Colony, Vasant Vihar Complex, Chembur, Mumbai, Maharashtra 400074",19.043122988590135,72.9046353921581,19.0441,72.9047,108.85075039089806
11,"5/39, Duleep Singh Marg, Mysore Colony, Chembur, Mumbai, Maharashtra 400074",19.035322820422873,72.892570452899,19.0348,72.8925,58.604770828387814
12,"Rustomjee Balmoral Golf Links, Ramakrishna Chemburkar Marg, Charai, Chembur, Mumbai, Maharashtra 400071",19.051115185877382,72.89494971347419,19.0511,72.8949,5.491187113823753
13,"2WJ2+QHP, RCF Marg, Mahul Gaon, New RNA Colony, MMRDA Colony, Chembur, Mumbai, Maharashtra 400074",19.03232985919206,72.90143156487825,19.0319,72.9014,47.913184966318894
14,"2WH4+W4X, Bharat Nagar, Chembur East, Bharat Nagar, Mumbai, Maharashtra 400074",19.030161380340818,72.90539015106908,19.0298,72.9053,41.2859597511313
15,"Hashu Advani Nagar, HP Nagar, Bharat Nagar, Chembur, Mumbai, Maharashtra 400074",19.028602361473304,72.90353489320006,19.0281,72.9035,55.98034143192027
16,"400074, Vishnu Nagar Rd, Vishnu Nagar, Chembur, Mumbai, Maharashtra 400074",19.02377633492502,72.9050419378146,19.0238,72.9051,6.646685508976819
