id,latitude,longitude,parcel_weight,service_time,window_start,window_end
11610,19.189476490296613,72.97270651715844,27,10,0,42
11625,19.194751898345373,73.0015254542281,29,10,0,570
11626,19.208325617387814,72.97864077995449,26,10,0,491
11628,19.167828670853485,73.0207993656272,23,10,0,508
11630,19.189635633870406,73.02567695512681,11,10,0,300
11632,19.202380984118452,72.99508857828013,12,10,0,149
12686,19.392632019843674,72.93696579879676,21,10,0,400
2972,18.947502854951814,72.82487075611243,11,10,0,838
2973,18.95901819378355,72.81293754352835,12,10,0,111
2988,18.969985687177154,72.8365805979648,24,10,0,117
3010,19.044694232790732,72.8561592774155,15,10,0,109
3030,19.254295440927372,72.85464567591113,29,10,0,584
3031,19.258481946415003,72.8637747395886,12,10,0,300
3032,19.243832449081257,72.8617246593455,18,10,0,325
3053,19.21091281458189,72.87621824425591,26,10,0,527
3055,19.19836133170108,72.8726386875055,23,10,0,562
3076,19.156417800941224,72.9656017654299,28,10,0,580
3087,19.12665059550062,72.82049099810595,21,10,0,602
3108,19.145865051969782,72.935223654033,30,10,0,331
3131,19.116271698563157,72.86200982398992,16,10,0,161
3134,19.11821749409504,72.85195426332356,30,10,0,227
3141,19.120995195564895,72.88224916410668,19,10,0,60
3143,19.125720606871756,72.87528802600954,28,10,0,563
3145,19.132749186756154,72.86483733545649,12,10,0,158
3147,19.107663437476926,72.90213293718381,25,10,0,176
3158,19.069134049517082,72.90275529437088,11,10,0,519
3164,19.09321262100413,72.90643955507987,14,10,0,807
3176,19.07615888067792,72.88302061837254,21,10,0,184
3178,19.08334452921686,72.87931088043874,19,10,0,47
3184,19.0978485155316,72.8905434184988,10,10,0,309
3186,19.06267662368589,72.9065281109321,19,10,0,251
3461,19.090512763065405,73.0078018315767,21,10,0,209
3477,19.10879922024379,73.00352737554869,23,10,0,195
3480,19.10743255254633,72.98670195183054,21,10,0,112
3481,19.120117732191243,73.00040850699035,10,10,0,415
3485,19.12874082485479,73.00206755495572,12,10,0,114
3486,19.12359601545903,73.00265165292906,20,10,0,801
3501,19.146674883524614,72.99179952532728,22,10,0,217
3512,19.083315192856617,73.01850263862374,13,10,0,117
3515,19.07269516955536,73.02159384433973,11,10,0,684
3523,19.05677950045318,73.01689119764752,28,10,0,470
3532,19.04179938956024,73.01686513505163,15,10,0,477
3550,19.01064491498963,73.01982085266492,19,10,0,557
3558,19.238630350203046,73.08771508790544,17,10,0,230
3560,19.21538563401867,73.08678142533255,12,10,0,83
3567,19.21795815159214,73.08206734467112,24,10,0,71
3585,19.218691649178403,73.09252715599011,24,10,0,532
3593,19.225774793405883,73.12238488437823,12,10,0,300
3595,19.23772143933978,73.14589040017839,11,10,0,421
3598,19.22882605673255,73.13237340715897,23,10,0,300
3630,19.267159892215346,73.1353510610867,19,10,0,329
3633,19.267455571750304,73.16168923169093,15,10,0,588
3634,19.257418168315468,73.17205186252292,16,10,0,159
3658,19.21147244009848,73.13806979784297,30,10,0,530
3674,19.228002344702894,73.08007001742878,28,10,0,774
3676,19.222144301392632,73.13056487786088,18,10,0,300
