"station_id","nearest_node_id","parcel_weight","geom","service_time","window_start","window_end","vehicle_id"
"11610","16527",27,"0101000020E61000004DF3D5D2403E5240502F018881303340",10,0,42,3
"11625","305639",29,"0101000020E61000005C0138FE18405240303AAA42DB313340",10,0,570,3
"11626","99785",26,"0101000020E6100000EF1BF00CA23E52408499E1D354353340",10,0,491,3
"11628","72380",23,"0101000020E61000005EC9DCC65441524099A5DCD1F62A3340",10,0,508,8
"11630","165323",11,"0101000020E6100000F4A1F4B0A44152402FA1FDF58B303340",10,0,300,5
"11632","346654",12,"0101000020E610000086150188AF3F5240FD1E7C3DCF333340",10,0,149,3
"12686","393008",21,"0101000020E61000005ED3653FF73B52404C97348883643340",10,0,400,1
"2972","349947",11,"0101000020E6100000803BB6AECA3452407AE20E8C8FF23240",10,0,838,6
"2973","395072",12,"0101000020E610000045C9302B07345240C091623782F53240",10,0,111,6
"2988","336336",24,"0101000020E6100000862E59898A355240930364FB50F83240",10,0,117,6
"3010","638948",15,"0101000020E6100000A92A4850CB365240F027CC14710B3340",10,0,109,6
"3030","184345",29,"0101000020E610000031EDC683B2365240124E8A8119413340",10,0,584,1
"3031","1221315",12,"0101000020E61000003769D81548375240787572DF2B423340",10,0,300,1
"3032","185057",18,"0101000020E6100000EC822F7F26375240F181AACD6B3E3340",10,0,325,1
"3053","830282",26,"0101000020E610000036CFAFF513385240C0EFD861FE353340",10,0,527,1
"3055","497129",23,"0101000020E6100000DF03F04FD93752407872E8CEC7323340",10,0,562,1
"3076","118067",28,"0101000020E6100000CDDE586BCC3D5240078E3BFF0A283340",10,0,580,3
"3087","261431",21,"0101000020E6100000C2E1ACEC82345240B0B1652C6C203340",10,0,602,6
"3108","51384",30,"0101000020E61000001C2150B4DA3B5240EDD67B6957253340",10,0,331,3
"3131","709242",16,"0101000020E610000084B7402B2B37524075C766FBC31D3340",10,0,161,1
"3134","257669",30,"0101000020E610000066AA2C6B8636524009F46E80431E3340",10,0,227,6
"3141","490655",19,"0101000020E6100000BDB032C576385240A2EC878AF91E3340",10,0,60,4
"3143","638242",28,"0101000020E6100000A69211B8043852408DF2C6392F203340",10,0,563,6
"3145","531415",12,"0101000020E61000004E09B27E5937524033B0C7D9FB213340",10,0,158,1
"3147","732753",25,"0101000020E61000005476C98BBC39524037F0BED48F1B3340",10,0,176,4
"3158","1136236",11,"0101000020E6100000486724BEC639524046B7E1C4B2113340",10,0,519,3
"3164","168321",14,"0101000020E61000009B370D1B033A524085C946C8DC173340",10,0,807,5
"3176","312259",21,"0101000020E6100000A466E96883385240C7CFFD257F133340",10,0,184,3
"3178","319439",19,"0101000020E610000016A024A14638524074492B1156153340",10,0,47,3
"3184","58665",10,"0101000020E6100000B487D2A9FE3852409D2BAE990C193340",10,0,309,7
"3186","161449",19,"0101000020E6100000EA567B8E043A524060F440930B103340",10,0,251,3
"3461","94260",21,"0101000020E610000022DE40D37F4052408C3C2DD82B173340",10,0,209,4
"3477","370151",23,"0101000020E6100000D4A7E2CA3940524002C70444DA1B3340",10,0,195,4
"3480","872891",21,"0101000020E6100000BD80F11F263F524059B623B3801B3340",10,0,112,4
"3481","90315",10,"0101000020E61000007B0A67B1064052405B6E2309C01E3340",10,0,415,4
"3485","1245337",12,"0101000020E6100000B83AF4DF214052405169A028F5203340",10,0,114,4
"3486","1245177",20,"0101000020E610000015A7D6712B405240FC4F0CFDA31F3340",10,0,801,4
"3501","198567",22,"0101000020E6100000045EB7A4793F524001E2337C8C253340",10,0,217,7
"3512","361734",13,"0101000020E6100000D6F1B0252F4152404094FC2454153340",10,0,117,7
"3515","292148",11,"0101000020E6100000FBCE25CB6141524044D18F269C123340",10,0,684,7
"3523","28075",28,"0101000020E6100000215FD1BE144152409687F119890E3340",10,0,470,7
"3532","306058",15,"0101000020E610000052DF8051144152406C27635DB30A3340",10,0,477,7
"3550","282971",19,"0101000020E6100000617EAEBE44415240C9BF09A0B9023340",10,0,557,7
"3558","333583",17,"0101000020E6100000DB7ABE1F9D45524082F4EDE0163D3340",10,0,230,5
"3560","947310",12,"0101000020E610000007EDADD38D4552406F234E8323373340",10,0,83,8
"3567","871681",24,"0101000020E6100000A65B6497404552401FFCFC1ACC373340",10,0,71,8
"3585","9613",24,"0101000020E61000000B3E05F7EB4552402A21092DFC373340",10,0,532,5
"3593","493551",12,"0101000020E610000079FB6827D54752407EF07960CC393340",10,0,300,5
"3595","497039",11,"0101000020E61000004264B04456495240BC85EF4FDB3C3340",10,0,421,8
"3598","493972",23,"0101000020E6100000E7A64FCE7848524092232E58943A3340",10,0,300,5
"3630","300982",19,"0101000020E610000029367F97A948524028DE379764443340",10,0,329,8
"3633","334139",15,"0101000020E6100000968ECA1D594A5240F0CCE5F777443340",10,0,588,8
"3634","874294",16,"0101000020E61000001EB0D0E5024B5240A84F3628E6413340",10,0,159,8
"3658","52372",30,"0101000020E61000004293B422D6485240713ACE0E23363340",10,0,530,5
"3674","491003",28,"0101000020E6100000CB8FFEDD1F45524006E9955C5E3A3340",10,0,774,5
"3676","1125943",18,"0101000020E6100000CC1ACA2C5B4852406079ED72DE383340",10,0,300,5
